sample	N50	L50	num_contigs	largest_contig	total_length	num_bins	assembly_mapping_percent
B109_23_EFNP_N1	22118	16730	219412	816345	1829462759	600	95.25478
B111F_22_EFNP_N1	22118	16730	219412	816345	1829462759	600	91.54188
B11_23_RUNR	22118	16730	219412	816345	1829462759	600	96.63553
B120_23_EFNP_TC	22118	16730	219412	816345	1829462759	600	95.74245
B163F_22_EFNP_N1	22118	16730	219412	816345	1829462759	600	94.70682
B184F_22_EFNP_BB	22118	16730	219412	816345	1829462759	600	94.98159
B18F_22_EFNP_N1	22118	16730	219412	816345	1829462759	600	94.78258
B19_1_23_RUNR	22118	16730	219412	816345	1829462759	600	96.37796
B19_2_23_RUNR	22118	16730	219412	816345	1829462759	600	97.58047
B201_23_EFNP_BB	22118	16730	219412	816345	1829462759	600	95.39501
B2_1_23_RUNR	22118	16730	219412	816345	1829462759	600	97.10624
B218_23_EFNP_N96	22118	16730	219412	816345	1829462759	600	95.879585
B220_23_EFNP_FF	22118	16730	219412	816345	1829462759	600	95.15848
B246F_22_EFNP_N1	22118	16730	219412	816345	1829462759	600	93.553696
B250F_22_EFNP_CV	22118	16730	219412	816345	1829462759	600	94.52035
B29F_22_EFNP_BB	22118	16730	219412	816345	1829462759	600	92.32523
B31_23_EFNP_N31	22118	16730	219412	816345	1829462759	600	95.62171
B328_23_EFNP_CC	22118	16730	219412	816345	1829462759	600	95.05219
B33_23_RUNR	22118	16730	219412	816345	1829462759	600	94.4451
B357_23_EFNP_TE	22118	16730	219412	816345	1829462759	600	93.51143
B361_23_EFNP_N88	22118	16730	219412	816345	1829462759	600	94.59192
B362F_22_EFNP_WH	22118	16730	219412	816345	1829462759	600	94.77478
B363_23_EFNP_WH	22118	16730	219412	816345	1829462759	600	95.29835
B369F_22_EFNP_CV	22118	16730	219412	816345	1829462759	600	94.16805
B382_23_EFNP_CC	22118	16730	219412	816345	1829462759	600	94.40287
B39_23_RUNR	22118	16730	219412	816345	1829462759	600	95.224915
B407_23_EFNP_DW	22118	16730	219412	816345	1829462759	600	94.098564
B441_23_EFNP_RE	22118	16730	219412	816345	1829462759	600	95.72468
B458_23_EFNP_N1	22118	16730	219412	816345	1829462759	600	95.31355
B461F_22_EFNP_BB	22118	16730	219412	816345	1829462759	600	94.68066
B462_23_EFNP_CV	22118	16730	219412	816345	1829462759	600	94.682846
B466F_22_EFNP_N1	22118	16730	219412	816345	1829462759	600	94.13172
B478_23_EFNP_NB	22118	16730	219412	816345	1829462759	600	97.358284
B523F_22_EFNP_DW	22118	16730	219412	816345	1829462759	600	91.486275
B534F_22_EFNP_CC	22118	16730	219412	816345	1829462759	600	94.50771
B6_23_RUNR	22118	16730	219412	816345	1829462759	600	95.00397
B63_23_RUNR	22118	16730	219412	816345	1829462759	600	94.73663
B83F_22_EFNP_WH	22118	16730	219412	816345	1829462759	600	91.097916
FS1_1_23_RUNR	22118	16730	219412	816345	1829462759	600	97.201126
FS11F_22_EFNP_N1	22118	16730	219412	816345	1829462759	600	90.83401
No_69_road_23_EFNP_N69	22118	16730	219412	816345	1829462759	600	93.89135
